"v1013","mes_nome","sexo","raca","faixa_etaria","escolaridade","faixa_renda","n_amostra","populacao_estimada"
"11","Novembro","Masculino","Indigena","18-29","Pos-graduacao","Ate 1 SM","1","1309.0"
"10","Outubro","Feminino","Preta","40-49","Pos-graduacao","Sem informacao","5","2834.0"
"10","Outubro","Feminino","Indigena","50-59","Fundamental completo","Ate 1 SM","4","2828.0"
"10","Outubro","Masculino","Indigena","50-59","Pos-graduacao","2 a 4 SM","1","376.0"
"10","Outubro","Feminino","Amarela","50-59","Sem instrucao","Sem informacao","5","1190.0"
"10","Outubro","Masculino","Indigena","40-49","Sem instrucao","Sem informacao","1","259.0"
"10","Outubro","Masculino","Indigena","50-59","Sem instrucao","1 a 2 SM","2","1625.0"
"11","Novembro","Feminino","Indigena","30-39","Superior completo","Acima 4 SM","2","2001.0"
"10","Outubro","Feminino","Amarela","50-59","Fundamental completo","Ate 1 SM","1","162.0"
"9","Setembro","Masculino",,"40-49","Fundamental incompleto","Ate 1 SM","2","860.0"
"11","Novembro","Masculino","Parda","18-29","Medio incompleto","Acima 4 SM","6","2558.0"
"11","Novembro","Masculino","Indigena","40-49","Sem instrucao","Ate 1 SM","3","597.0"
"9","Setembro","Masculino","Amarela","40-49","Superior completo","Sem informacao","6","7216.0"
"11","Novembro","Masculino","Indigena","40-49","Medio completo","2 a 4 SM","6","3187.0"
"9","Setembro","Masculino",,"18-29","Fundamental completo","Ate 1 SM","1","322.0"
"11","Novembro","Feminino","Branca","60+","Fundamental incompleto","Acima 4 SM","6","3929.0"
"10","Outubro","Feminino","Indigena","30-39","Fundamental incompleto","1 a 2 SM","1","312.0"
"11","Novembro","Feminino","Parda","0-17","Fundamental incompleto","1 a 2 SM","2","838.0"
"10","Outubro","Feminino","Amarela","40-49","Superior completo","1 a 2 SM","10","6086.0"
"11","Novembro","Feminino","Amarela","50-59","Superior completo","Ate 1 SM","3","1959.0"
"10","Outubro","Masculino","Indigena","40-49","Superior incompleto","2 a 4 SM","2","892.0"
"11","Novembro","Feminino","Branca","18-29","Fundamental completo","1 a 2 SM","59","33382.0"
"11","Novembro","Masculino","Indigena","40-49","Fundamental incompleto","2 a 4 SM","2","1480.0"
"11","Novembro","Masculino","Amarela","40-49","Superior incompleto","Acima 4 SM","2","971.0"
"11","Novembro","Masculino","Amarela","50-59","Medio completo","1 a 2 SM","9","4810.0"
