"v1013","mes_nome","faixa_etaria","raca","comorbidade_codigo","comorbidade","n_amostra","qtd_respostas_sim","pop_estimada_com_comorbidade","pct_com_comorbidade"
"9","Setembro","50-59","Preta","B0104","Doenca do coracao","4536","214","110842.0","4.8407"
"9","Setembro","18-29","Amarela","B0104","Doenca do coracao","396","0","0.0","0.0"
"10","Outubro","30-39","Indigena","B0104","Doenca do coracao","252","4","3281.0","2.7224"
"9","Setembro","40-49","Branca","B0104","Doenca do coracao","22424","394","243309.0","1.9027"
"10","Outubro","30-39","Branca","B0104","Doenca do coracao","21918","186","134089.0","0.9393"
"10","Outubro","60+","Preta","B0104","Doenca do coracao","5329","485","238269.0","9.4646"
"10","Outubro","30-39","Amarela","B0104","Doenca do coracao","379","6","4498.0","1.5181"
"9","Setembro","30-39","Preta","B0104","Doenca do coracao","5314","50","28145.0","0.8477"
"9","Setembro","18-29","Indigena","B0104","Doenca do coracao","259","1","238.0","0.2082"
"9","Setembro","60+","Parda","B0104","Doenca do coracao","28167","2523","1111625.0","9.515"
