"v1013","mes_nome","faixa_etaria","raca","faixa_renda","plano_saude","n_amostra","populacao_estimada","pct_diabetes","pct_hipertensao","pct_asma","pct_doenca_coracao","pct_depressao","pct_cancer","pct_alguma_comorbidade","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"11","Novembro","0-17","Parda","Sem informacao",,"87","49063.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"11","Novembro","30-39","Parda","Acima 4 SM","Sim","797","538314.0","1.2885","4.6933","6.8861","0.9803","3.0015","0.3663","15.3429","11.2598","0.0"
"11","Novembro","18-29","Branca","Ate 1 SM","Nao","3365","2085727.0","0.5995","1.3516","6.4207","0.3799","2.219","0.1576","10.5734","5.0742","0.0"
"11","Novembro","60+","Parda","Ate 1 SM","Nao","1707","717993.0","14.0195","36.7959","4.0971","4.688","2.2168","2.3159","46.4524","7.5891","0.0"
"11","Novembro","60+","Indigena","Sem informacao","Nao","160","56904.0","14.2471","49.4988","2.7318","11.5917","3.8292","3.0611","57.7762","0.0",
"11","Novembro","30-39","Parda","2 a 4 SM",,"2","574.0",,,,,,,,,
"11","Novembro","30-39","Branca","Acima 4 SM","Nao","524","318438.0","1.0762","3.8759","3.3888","0.398","2.1128","0.5104","9.0263","23.67","0.0"
"11","Novembro","50-59","Amarela","Ate 1 SM","Nao","21","10405.0","2.8978","8.1233","1.4518","0.0","0.0","0.0","9.5751","0.0",
"11","Novembro","60+","Branca","Ate 1 SM","Nao","1429","566039.0","11.7643","38.5482","4.246","8.2172","4.9978","2.8404","48.5093","10.2165","100.0"
"11","Novembro","50-59","Indigena","Ate 1 SM","Nao","39","15223.0","9.4599","12.1045","2.3203","0.0","9.7457","0.0","22.2266",,
"11","Novembro","50-59","Preta","Sem informacao","Sim","286","166260.0","20.294","41.6201","5.1616","6.5201","4.5347","1.5119","52.7448",,
